trial,status,error,method,lr,dropout,weight_decay,cb_beta,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50,val_count_overall,val_count_head,val_count_tail
60,ok,,ClassBalance,0.001,0.9,0.001,0.9999,3,7102,7102,8.318201661920872,0.35201351731906505,0.08448324415657561,0.035917961652888505,0.35201351731906505,0.08872637027321072,0.15011258443832876,0.06382020606925548,0.5754315736802602,0.14554997628993566,0.0,0.0,0.06441223832528181,0.015578559242985422,0.06637501885653944,0.03771307889576105,3.8133080813675844,30.67727400732188,2.509341519677599,0.21421028812792275,0.1546236234726203,3.3001519310913996,50.675302731624896,1.4848562902460838,7102,3997,3105
41,ok,,ClassBalance,0.001,0.1,0.0,0.9999,3,7102,7102,7.867388822594467,0.18304702900591382,0.056322162771050406,0.02080889874115032,0.18304702900591382,0.04738410890484196,0.0,0.0,0.0,0.0,0.12882447665056362,0.047595748425007925,0.4186795491143317,0.10838065746930359,7.518479408658924,9.398099260823653,1.9677280316437458,100.0,94.48385449179956,16.24076029567054,20.300950369588172,1.9747279461212661,100.0,93.02721734211819,7102,3997,3105
63,ok,,ClassBalance,0.0001,0.1,0.01,0.9999,3,7102,7102,7.961418599498515,0.15488594762038863,0.028161081385525203,0.01205586013951031,0.15488594762038863,0.03841572242451184,0.0,0.0,0.0,0.0,0.06441223832528181,0.027575110695910534,0.35426731078904994,0.08786745914939874,0.03922160205159149,0.049027002564489365,1.6454642263783317,100.0,0.13482539078605305,0.1870568713229748,0.23382108915371852,1.7493272176414205,100.0,1.5358477954822591,7102,3997,3105
21,ok,,ClassBalance,0.01,0.1,0.0,0.9999,3,7102,7102,7.845467732877148,0.15488594762038863,0.056322162771050406,0.023831822940246522,0.15488594762038863,0.04477815779760506,0.0,0.0,0.0,0.0,0.12882447665056362,0.05451001820342377,0.35426731078904994,0.10242012131355593,10.930758787147383,13.659677176044651,1.9609221730416189,99.98591945930724,96.77986303030606,25.859103937245436,32.32010861366722,1.9739300321435855,99.97521824838074,96.14746389058129,7102,3997,3105
49,ok,,ClassBalance,0.001,0.5,0.0,0.9999,3,7102,7102,8.056040984432714,0.14080540692762603,0.028161081385525203,0.018319205796451438,0.14080540692762603,0.04255812216948669,0.0,0.0,0.0,0.0,0.06441223832528181,0.041901127074524355,0.322061191626409,0.09734228136801755,1.5145572484537637,1.8064564791069542,2.2934731872717466,91.85440720923683,26.274536398048976,4.564791069542917,5.457082516216624,2.2162251448069643,94.72880878625739,28.468680661863544,7102,3997,3105
79,ok,,ClassBalance,0.0001,0.9,0.01,0.9999,3,7102,7102,8.3223194005538,0.14080540692762603,0.042241622078287806,0.018138086966255434,0.14080540692762603,0.03593732808480328,0.02501876407305479,0.015785082651274894,0.20015011258443832,0.04741135496148924,0.06441223832528181,0.021167059026473537,0.06441223832528181,0.021167059026473537,0.03620455573993061,0.041484386785337155,2.607678102254929,90.08870740636439,0.46400943604429923,0.19912505656961835,0.19233670236838135,2.6635371741580762,80.10644888763728,0.5447786376802211,7102,3997,3105
33,ok,,ClassBalance,0.01,0.7,0.0,0.9999,3,7102,7102,8.007882092274777,0.14080540692762603,0.056322162771050406,0.04310907225633414,0.14080540692762603,0.060499853370499006,0.0,0.0,0.0,0.0,0.12882447665056362,0.09860245770192755,0.322061191626409,0.13838001888479354,0.03620455573993061,0.04525569467491326,2.5987743795508593,100.0,0.3597825017486178,0.16593754714134862,0.19987931814753357,2.504666156333361,96.0163334272036,0.46842161640006097,7102,3997,3105
29,ok,,ClassBalance,0.01,0.5,0.0,0.9999,3,7102,7102,7.931919798559072,0.12672486623486343,0.0,0.0,0.12672486623486343,0.024932575442302415,0.0,0.0,0.0,0.0,0.0,0.0,0.2898550724637681,0.05702774582648366,0.03620455573993061,0.04525569467491326,2.0296935378994276,100.0,3.1960067182084773,0.16593754714134862,0.20742193392668576,2.0239712619504697,100.0,1.8690878137550326,7102,3997,3105
57,ok,,ClassBalance,0.001,0.9,0.0,0.9999,3,7102,7102,8.322850318182082,0.12672486623486343,0.0,0.0,0.12672486623486343,0.029455862876387923,0.0,0.0,0.10007505629221916,0.02131842723976652,0.0,0.0,0.1610305958132045,0.03993100949138817,0.03620455573993061,0.033941771006184944,2.3379731156957524,79.92396508025908,0.345851867952951,0.15990345451802687,0.16593754714134862,2.437569912012182,84.11883976344691,0.42493925697180135,7102,3997,3105
78,ok,,ClassBalance,0.0001,0.9,0.1,0.9999,3,7102,7102,8.320933971275277,0.12672486623486343,0.0,0.0,0.12672486623486343,0.026328129707746378,0.0,0.0,0.10007505629221916,0.019947594923134408,0.0,0.0,0.1610305958132045,0.03454165548362208,0.042238648363252376,0.03771307889576105,2.799970949652226,60.28301886792453,0.6830678295793313,0.17498868607633128,0.17725147081007694,2.471482359538968,82.09659250915236,0.3982924731945281,7102,3997,3105
77,ok,,ClassBalance,0.0001,0.9,0.0,0.9999,3,7102,7102,8.32610830319982,0.12672486623486343,0.042241622078287806,0.032399746489214044,0.12672486623486343,0.04945562245756011,0.05003752814610958,0.032550162513484644,0.12509382036527394,0.047813981090694596,0.032206119162640906,0.032206119162640906,0.12882447665056362,0.05156887222997927,5.723336853220697,5.762558455272289,2.50530580365344,79.8282174035483,90.37932988523674,15.604163523910092,15.745210438980239,2.499878014240118,81.56462968177978,85.30232846258858,7102,3997,3105
71,ok,,ClassBalance,0.0001,0.5,0.01,0.9999,3,7102,7102,8.112853212421443,0.11264432554210081,0.028161081385525203,0.011278935450070138,0.11264432554210081,0.030373358843981603,0.0,0.0,0.02501876407305479,0.005322643321325073,0.06441223832528181,0.025798067493203906,0.22544283413848631,0.06262060842338842,0.08146025041484387,0.09428269723940262,1.975295392529928,99.87609124190368,9.629320694516274,0.2775682606728013,0.324332478503545,2.1667085910617327,94.7344410025345,5.7916726401392555,7102,3997,3105
75,ok,,ClassBalance,0.0001,0.7,0.01,0.9999,3,7102,7102,8.28444327789099,0.11264432554210081,0.014080540692762602,0.006064158801371347,0.11264432554210081,0.026568817545175358,0.0,0.0,0.07505629221916438,0.016877256818365004,0.032206119162640906,0.01387042054986773,0.1610305958132045,0.03904455610397116,0.04827274098657414,0.056569618343641576,2.2902631652974965,90.03660940580119,1.3813892808081762,0.21421028812792275,0.2413637049328707,2.216192048588419,91.86567164179105,1.3658946977018305,7102,3997,3105
32,ok,,ClassBalance,0.01,0.5,0.001,0.9999,3,7102,7102,7.968712667218682,0.11264432554210081,0.028161081385525203,0.011079748594500356,0.11264432554210081,0.029960885633277614,0.05003752814610958,0.019686858773615593,0.05003752814610958,0.019686858773615593,0.0,0.0,0.1932367149758454,0.04318642037017588,0.03620455573993061,0.033941771006184944,2.6597905004704954,70.14643762320473,0.4810536122981768,0.15990345451802687,0.18479408658922913,2.299878358724015,92.0371726274289,0.29042660845837176,7102,3997,3105
80,ok,,ClassBalance,0.0001,0.9,0.001,0.9999,3,7102,7102,8.325970215051353,0.09856378484933823,0.014080540692762602,0.006064158801371347,0.09856378484933823,0.02384545884574309,0.02501876407305479,0.010774995198233502,0.10007505629221916,0.0259487806489157,0.0,0.0,0.0966183574879227,0.021137897735507685,0.4585910393724544,0.4600995625282848,2.4867409549224466,78.72289495916644,43.372102508874356,1.5386936189470508,1.5311510031678985,2.569752462801228,77.15573078006196,34.79457246612431,7102,3997,3105
67,ok,,ClassBalance,0.0001,0.3,0.01,0.9999,3,7102,7102,8.025874118415677,0.09856378484933823,0.014080540692762602,0.006064158801371347,0.09856378484933823,0.0219579590892453,0.0,0.0,0.0,0.0,0.032206119162640906,0.01387042054986773,0.22544283413848631,0.05022396954970053,0.05430683360989592,0.06788354201236989,1.9296864520966002,100.0,1.4651356810101768,0.2292955196862272,0.286619399607784,1.8594914597645886,100.0,2.0255001149881102,7102,3997,3105
66,ok,,ClassBalance,0.0001,0.3,0.1,0.9999,3,7102,7102,8.230341184706916,0.09856378484933823,0.028161081385525203,0.018774054257016802,0.09856378484933823,0.034417917537247066,0.0,0.0,0.02501876407305479,0.006120854193600852,0.06441223832528181,0.04294149221685453,0.1932367149758454,0.07084412113935784,0.03620455573993061,0.04525569467491326,1.9091991195481985,100.0,0.16551743994236423,0.16292050082968773,0.19610801025795746,1.9966769171046144,96.02112081103914,0.20443723622285415,7102,3997,3105
25,ok,,ClassBalance,0.01,0.3,0.0,0.9999,3,7102,7102,7.916903833142754,0.09856378484933823,0.028161081385525203,0.010302823905060184,0.09856378484933823,0.02520679887550434,0.0,0.0,0.0,0.0,0.06441223832528181,0.023565428461751185,0.22544283413848631,0.057654971212184165,0.19912505656961835,0.2489063207120229,1.7980996783371608,100.0,61.65299876652005,0.7602956705385427,0.9503695881731784,1.8780797488882426,100.0,56.599904321328054,7102,3997,3105
65,ok,,ClassBalance,0.0001,0.3,0.0,0.9999,3,7102,7102,8.023713624396292,0.08448324415657561,0.028161081385525203,0.009135429598972995,0.08448324415657561,0.02131927740602481,0.0,0.0,0.0,0.0,0.06441223832528181,0.020895272467602644,0.1932367149758454,0.04876312661436012,3.149796349373963,3.9372454367174536,2.0746116938286727,100.0,70.47346031240677,10.263991552270326,12.826218132448334,2.0775673189123935,99.99971838918614,65.14099072833773,7102,3997,3105
48,ok,,ClassBalance,0.001,0.3,0.001,0.9999,3,7102,7102,7.9975759318085755,0.08448324415657561,0.042241622078287806,0.01834133789728539,0.08448324415657561,0.02699163026742865,0.0,0.0,0.0,0.0,0.0966183574879227,0.04195174935475712,0.1932367149758454,0.061737377829075124,0.03318750942826972,0.041484386785337155,1.8149725045316012,100.0,0.14586694589008298,0.15688640820636596,0.19610801025795746,1.8491715397164639,100.0,0.1759166162317194,7102,3997,3105
73,ok,,ClassBalance,0.0001,0.7,0.0,0.9999,3,7102,7102,8.31673982840817,0.08448324415657561,0.014080540692762602,0.005015589793129009,0.08448324415657561,0.018853905904457027,0.0,0.0,0.0,0.0,0.032206119162640906,0.011472051114590086,0.1932367149758454,0.0431241351798563,0.10861366721979183,0.1282244682455876,2.4223716625843004,89.91833286398197,14.822640906633744,0.4978126414240458,0.5920953386634484,2.2664304053406013,94.64826809349479,18.358378611759818,7102,3997,3105
62,ok,,ClassBalance,0.0001,0.1,0.1,0.9999,3,7102,7102,8.186933828859914,0.08448324415657561,0.028161081385525203,0.013899421862566597,0.08448324415657561,0.025686707466321384,0.0,0.0,0.02501876407305479,0.0047673608312928046,0.06441223832528181,0.031791849941368105,0.1610305958132045,0.052615734358498256,0.03620455573993061,0.04525569467491326,2.1795017094931413,100.0,0.23237393315762578,0.16292050082968773,0.19233670236838135,2.2609482865649846,94.04787383835539,0.3081859754483385,7102,3997,3105
13,ok,,ClassBalance,0.1,0.7,0.0,0.9999,3,7102,7102,7.965826848737237,0.08448324415657561,0.042241622078287806,0.037044913454962795,0.08448324415657561,0.04632832215372632,0.0,0.0,0.0,0.0,0.0966183574879227,0.08473203715205983,0.1932367149758454,0.10596577904533472,0.04525569467491326,0.05279831045406547,2.395864827165147,99.97465502675303,0.37754646905605593,0.16593754714134862,0.19987931814753357,2.482226275837766,96.01267248662349,2.752697917654401,7102,3997,3105
61,ok,,ClassBalance,0.0001,0.1,0.0,0.9999,3,7102,7102,7.945713215133771,0.08448324415657561,0.0,0.0,0.08448324415657561,0.01863036626871986,0.0,0.0,0.0,0.0,0.0,0.0,0.1932367149758454,0.04261283775859854,10.565696183436415,13.20712022929552,1.8942806767635911,100.0,97.07372377576134,18.865590586815507,23.581988233519386,1.894521782189763,100.0,91.70924930710692,7102,3997,3105
53,ok,,ClassBalance,0.001,0.7,0.0,0.9999,3,7102,7102,8.092877816180794,0.08448324415657561,0.0,0.0,0.08448324415657561,0.017366923034181324,0.0,0.0,0.0,0.0,0.0,0.0,0.1932367149758454,0.03972299110748978,0.1508523155830442,0.18856539447880524,2.0611535781802064,100.0,4.463759829163239,0.5973751697088551,0.7354050384673405,2.1585371480128877,98.00394255139398,2.7222029683072524,7102,3997,3105
76,ok,,ClassBalance,0.0001,0.7,0.001,0.9999,3,7102,7102,8.313983742071658,0.08448324415657561,0.0,0.0,0.08448324415657561,0.0158656417664908,0.0,0.0,0.0,0.0,0.0,0.0,0.1932367149758454,0.03628914261694611,0.06034092623321768,0.0754261577915221,2.159354303275011,100.0,14.865207723568187,0.2504148438678534,0.3092472469452406,2.193279516455214,99.99971838918614,5.369330976225839,7102,3997,3105
37,ok,,ClassBalance,0.01,0.9,0.0,0.9999,3,7102,7102,8.318288485209147,0.08448324415657561,0.028161081385525203,0.013122497173126427,0.08448324415657561,0.02420755850113655,0.0,0.0,0.05003752814610958,0.00929682284730582,0.06441223832528181,0.030014806738661477,0.12882447665056362,0.043401829164054884,0.03620455573993061,0.041484386785337155,2.1962662447471164,90.05209800056322,0.2821541272125083,0.16593754714134862,0.18102277869965305,2.368998972016041,88.06871303858068,0.33891070272189516,7102,3997,3105
69,ok,,ClassBalance,0.0001,0.5,0.0,0.9999,3,7102,7102,8.131624552668358,0.07040270346381301,0.028161081385525203,0.018319205796451438,0.07040270346381301,0.026631529712444754,0.0,0.0,0.0,0.0,0.06441223832528181,0.041901127074524355,0.1610305958132045,0.060913727541958985,3.8437170010559663,4.778247096092925,2.289570826172853,99.75359053787666,80.02835064619192,9.838588022326142,12.245436717453613,2.243045535960777,99.58434243874964,75.5625328887999,7102,3997,3105
72,ok,,ClassBalance,0.0001,0.5,0.001,0.9999,3,7102,7102,8.124892371041435,0.07040270346381301,0.014080540692762602,0.004070189049815374,0.07040270346381301,0.01672878385879456,0.0,0.0,0.0,0.0,0.032206119162640906,0.009309656242121992,0.1610305958132045,0.03826338903869854,0.8085684115251169,1.0069392065168201,2.4143128507621743,99.99859194593073,43.69439163002375,2.826972394026248,3.5224015688640824,2.3006714484118818,99.96874119966208,36.24882284419307,7102,3997,3105
17,ok,,ClassBalance,0.1,0.9,0.0,0.9999,3,7102,7102,8.08372079758417,0.07040270346381301,0.014080540692762602,0.008883832069437589,0.07040270346381301,0.020522144916806328,0.0,0.0,0.0,0.0,0.032206119162640906,0.02031979882677802,0.1610305958132045,0.04693986254401241,0.042238648363252376,0.05279831045406547,2.3941093778106386,100.0,5.504022481910143,0.19912505656961835,0.24513501282244682,2.3102881347414415,98.00675865953252,5.03237453595784,7102,3997,3105
44,ok,,ClassBalance,0.001,0.1,0.001,0.9999,3,7102,7102,7.941533004345537,0.07040270346381301,0.028161081385525203,0.008308854153504212,0.07040270346381301,0.017264083429224714,0.0,0.0,0.0,0.0,0.06441223832528181,0.019004664154005448,0.1610305958132045,0.03948776828159547,0.03620455573993061,0.04525569467491326,1.9425110098634961,100.0,0.17937748265948184,0.16292050082968773,0.20365062603710965,1.9002095276084845,100.0,0.1637321994978458,7102,3997,3105
74,ok,,ClassBalance,0.0001,0.7,0.1,0.9999,3,7102,7102,8.317773721656021,0.07040270346381301,0.0,0.0,0.07040270346381301,0.014876849621825162,0.0,0.0,0.02501876407305479,0.004802569927609711,0.0,0.0,0.12882447665056362,0.02784525411064293,0.04525569467491326,0.04525569467491326,2.487952716391992,80.07181075753309,0.38536819850497617,0.1840398250113139,0.21119324181626187,2.2724853055739915,90.04900028161082,0.30014644476161756,7102,3997,3105
1,ok,,ClassBalance,0.1,0.1,0.0,0.9999,3,7102,7102,7.90682958096874,0.07040270346381301,0.0,0.0,0.07040270346381301,0.013690504199618663,0.0,0.0,0.0,0.0,0.0,0.0,0.1610305958132045,0.031313997045311355,0.4012671594508976,0.5015839493136219,1.9255134674281773,100.0,80.12708297715574,1.3999094886106502,1.749886860763313,1.9419736008585677,100.0,76.85233730431945,7102,3997,3105
